loc_rowid,kepid,koi_sage
1,9388479,13.7000
2,8359498,1.2000
3,9406990,0.6000
4,9415172,2.4000
5,9415172,2.4000
6,9415172,2.4000
7,9466668,0.4000
8,9466668,0.4000
9,9466668,0.4000
10,9466668,0.4000
11,9479273,0.5000
12,10166274,13.6000
13,10166274,13.6000
14,10153827,0.4000
15,10158990,13.9000
16,5446285,1.6000
17,10149023,0.3000
18,10141900,2.1000
19,10141900,2.1000
20,10141900,2.1000
21,10157458,0.7000
22,10148521,0.9000
23,5481416,13.9000
24,10875245,2.3000
25,5531576,0.9000
26,5531576,0.9000
27,5534814,1.7000
28,5649215,0.4000
29,5651104,13.9000
30,5792202,1.9000
31,5792202,1.9000
32,5792202,1.9000
33,5794379,13.9000
34,9480189,14.0000
35,9941662,0.5800
36,11359879,2.1000
37,9480189,14.0000
38,9480189,14.0000
39,9512687,0.7000
40,9513865,0.6000
41,9595686,13.2000
42,9605514,0.4100
43,9605514,0.4100
44,9661877,0.4000
45,10118816,14.0000
46,10122255,3.6000
47,3124412,1.4000
48,3113266,3.3000
49,4649305,0.6800
50,3247268,2.1000
51,3247268,2.1000
52,3232859,0.8600
53,3098184,
54,2720309,0.6000
55,3239636,0.3600
56,2721030,0.3000
57,11446443,6.5000
58,10666592,1.9800
59,6922244,5.4000
60,5794379,13.9000
61,10875245,2.3000
62,5881688,5.1000
63,6022556,0.5000
64,6032497,5.4000
65,6061119,0.4000
66,6191521,0.9000
67,6267425,14.0000
68,6276477,10.9000
69,6291653,6.6000
70,6392727,0.5000
71,9710326,14.0000
72,9761882,0.5000
73,11974540,1.5900
74,9766437,0.3000
75,9772531,13.9000
76,9775938,13.7000
77,9775938,13.7000
78,9787239,13.9000
79,9787239,13.9000
80,9787239,13.9000
81,9787239,13.9000
82,9787239,13.9000
83,3329204,0.4000
84,3230491,0.5000
85,3340070,0.3000
86,4180280,4.5000
87,3240706,0.3000
88,2853093,0.4000
89,3228824,
90,3245969,1.0000
91,3245969,1.0000
92,3231341,5.2000
93,3231341,5.2000
94,3231341,5.2000
95,6678383,12.9000
96,10265898,2.5000
97,10271806,0.6000
98,10271806,0.6000
99,10271806,0.6000
100,10271806,0.6000
101,10272442,0.4000
102,10272442,0.4000
103,10287242,13.5000
104,10340423,13.8000
105,10340423,13.8000
106,6422070,8.4000
107,10875245,2.3000
108,6428700,14.0000
109,6428700,14.0000
110,6435936,14.0000
111,6522242,1.0000
112,6526710,0.3000
113,6587280,3.5000
114,6587280,3.5000
115,6599919,7.3000
116,6675056,13.8000
117,9820483,0.4000
118,5297298,4.4300
119,9823457,0.4000
120,9823457,0.4000
121,9825625,0.3400
122,9875711,14.0000
123,7661409,2.0000
124,1026957,13.9000
125,10002261,
126,8176650,0.5000
127,8561063,
128,8561063,
129,3231341,5.2000
130,2860866,
131,3964562,0.7000
132,9904059,3.9400
133,2851100,0.9000
134,3130300,0.2000
135,3240158,0.3000
136,3240158,0.3000
137,3228959,0.3000
138,3218908,0.5000
139,3218908,0.5000
140,6678383,12.9000
141,10345478,3.0000
142,10358759,0.3000
143,10358759,0.3000
144,10386984,13.7000
145,10395381,8.9000
146,10418797,0.5000
147,10419211,0.3000
148,10464078,13.9000
149,10480982,0.3000
150,10485250,14.0000
151,6680177,9.2000
152,3531558,2.1000
153,6685526,1.9000
154,6756669,5.0000
155,6784235,0.6000
156,6849310,0.5000
157,6849310,0.5000
158,6849310,0.5000
159,6862328,0.4000
160,6862603,0.3000
161,6863998,13.3000
162,7778437,0.7200
163,8561063,
164,8846163,6.9000
165,10657664,
166,3337351,
167,3233043,12.4000
168,3233043,12.4000
169,6579806,0.3000
170,3560301,1.8000
171,4044005,
172,11502218,0.5140
173,8892910,4.4000
174,11180361,0.5200
175,11013201,0.8600
176,3218908,0.5000
177,3235672,13.9000
178,2837111,0.9000
179,9048161,3.0800
180,3120276,0.4000
181,3109930,1.7000
182,2854914,1.7100
183,2854914,1.7100
184,3337425,9.7000
185,3116412,12.5000
186,10984090,2.4000
187,10526549,13.8000
188,10583066,13.6000
189,10583180,14.0000
190,10601284,0.5000
191,10601284,0.5000
192,10601284,0.5000
193,10662202,11.0000
194,10682541,9.7000
195,10797460,7.7000
196,6867155,13.9000
197,9471974,8.9000
198,6948054,13.4000
199,6948054,13.4000
200,6948054,13.4000
201,6948054,13.4000
202,6949607,14.0000
203,6949607,14.0000
204,7031517,0.4000
205,7109675,4.5000
206,7109675,4.5000
207,7118364,0.4000
208,11013201,0.8600
209,12366681,4.4000
210,9414417,3.1800
211,3632418,3.3500
212,3441784,
213,11192141,12.3000
214,11494130,2.4100
215,5648449,
216,11673674,4.7000
217,12167361,0.8400
218,8607720,3.3000
219,1433962,13.6000
220,11607193,1.2600
221,5735762,9.4000
222,8386035,1.2500
223,8332986,14.0000
224,8415745,
225,8378634,2.8500
226,8397675,2.2700
227,8346392,13.9000
228,8288947,0.8000
229,8312852,0.4000
230,8302450,0.3000
231,8313667,0.4000
232,5735762,9.4000
233,10797460,7.7000
234,10984090,2.4000
235,10811496,0.4000
236,10848459,0.5000
237,10854555,3.9000
238,10872983,0.3000
239,10872983,0.3000
240,10872983,0.3000
241,10910878,1.1000
242,10910878,1.1000
243,9471974,8.9000
244,7134976,12.6000
245,7134976,12.6000
246,7135852,1.2000
247,7270230,0.4000
248,7287995,6.8000
249,7287995,6.8000
250,7287995,6.8000
251,7303253,13.9000
252,7351237,7.7000
253,7366258,4.9000
254,1161345,1.3000
255,10227501,14.0000
256,2854698,8.0000
257,2854698,8.0000
258,7295235,3.0000
259,2302548,2.4000
260,9032900,2.9000
261,2302548,2.4000
262,10743597,3.7000
263,10743597,3.7000
264,10743597,3.7000
265,10015516,0.3700
266,10154388,7.2000
267,2849805,5.7000
268,3114811,2.5400
269,2853446,2.5900
270,3003992,
271,1996679,4.1000
272,3003992,
273,6307537,
274,6359798,3.1000
275,6311681,7.0000
276,6365321,0.6000
277,6301035,3.8000
278,6292162,
279,6307521,0.6000
280,10910878,1.1000
281,10987985,13.7000
282,2306756,8.8000
283,11018648,1.8000
284,11018648,1.8000
285,11138155,0.3000
286,11152159,10.2000
287,11153539,0.3000
288,11242721,4.1000
289,11304958,13.8000
290,11391957,0.5000
291,5812701,2.1200
292,11869052,14.0000
293,7366258,4.9000
294,7366258,4.9000
295,7366258,4.9000
296,7373451,0.7000
297,7373451,0.7000
298,7377033,5.4000
299,7380537,0.9000
300,7434875,0.8000
301,7434875,0.8000
302,1432789,0.4000
303,1718189,0.4000
304,1718189,0.4000
305,1431122,10.4000
306,9818381,0.6900
307,3858949,0.6000
308,3858824,0.9000
309,2157247,2.2000
310,1432214,0.4000
311,2165002,7.9000
312,2165002,7.9000
313,6359320,
314,6359320,
315,5735762,9.4000
316,6359320,
317,6362874,3.9000
318,6272413,13.6000
319,8279765,3.6000
320,8435247,
321,8330548,1.2000
322,8374494,
